TIME;GEO;UNIT;Value
2005;Nord;Euro per inhabitant;29600
2006;Nord;Euro per inhabitant;30550
2007;Nord;Euro per inhabitant;31600
2008;Nord;Euro per inhabitant;31800
2009;Nord;Euro per inhabitant;30150
2005;Centro (IT);Euro per inhabitant;27300
2006;Centro (IT);Euro per inhabitant;28100
2007;Centro (IT);Euro per inhabitant;28900
2008;Centro (IT);Euro per inhabitant;28700
2009;Centro (IT);Euro per inhabitant;28000
2005;Sud;Euro per inhabitant;16450
2006;Sud;Euro per inhabitant;17050
2007;Sud;Euro per inhabitant;17600
2008;Sud;Euro per inhabitant;17700
2009;Sud;Euro per inhabitant;17200
