region;avg_temperature;avg_precipitations;year;gini_index;std_suicides_rate;gdp_pc
Piemonte;9,55;926,1;2009;0,306;5,3;27824
Valle d'Aosta;1,8;774,3;2009;0,276;11,7;33560
Lombardia;9,95;808,4;2009;0,292;5;33273
Trentino Alto-Adige;5,95;868,3;2009;0,272;4,9;33230
Veneto;11,95;904,3;2009;0,267;6,5;29304
Friuli-Venezia Giulia;11,35;1116;2009;0,277;8,3;28864
Liguria;13,75;969,8;2009;0,292;8;26947
Emilia-Romagna;12,75;801,8;2009;0,286;6,3;31189
Toscana;13,65;833,1;2009;0,287;5,3;27814
Umbria;12,4;867,5;2009;0,269;8,7;23686
Marche;13,45;839;2009;0,286;5,2;25924
Lazio;13,9;958,2;2009;0,323;4,7;29502
Abruzzo;11,95;1001,7;2009;0,271;5,2;21632
Molise;14,2;1066,9;2009;0,297;6,2;20001
Campania;14,95;1040,7;2009;0,339;2,4;16462
Puglia;15,9;812,1;2009;0,316;2,9;17184
Basilicata;14,75;865,1;2009;0,349;6,8;17631
Calabria;16,85;988,9;2009;0,316;4,5;16578
Sicilia;18,15;836;2009;0,355;6,6;16860
Sardegna;17,45;470,4;2009;0,294;4,1;19575
